b'Out for a walk &amp; a milkshake https://t.co/X2tC8Jj8QL'
b'Celebrating @cher\xe2\x80\x99s birthday the best way I know how - listening to her music while eating tacos at the Logan Square fountain https://t.co/nCVmEXCBeC'
b'At Retro Fitness'
b'Teacher #mindset influences behavior which in turn influences SOC\xe2\x80\x99s mindset and behavior. Incurs a cycle that disrupts relationships between teachers and Ss and hinder learning. Prompts practicioners to reflect on our own mindset and how it impacts others! #R2P19 #PHLEd #UrbanEd https://t.co/NHETjqKfqA'
b'Jimmy\xe2\x80\x99s learning about pistons next to a huge Baldwin locomotive at the Franklin Institute. https://t.co/0UBXGepOdC'
"b'Supporters of @tuneintorevcom at Biden\xe2\x80\x99s campaign kickoff rally, challenging people to face the truth: that the Republican Party IS fascist...and the Democratic Party is ALSO a machine of massive war crimes and crimes against humanity!\n\nHumanity needs #RevolutionNothingLess! https://t.co/MZ9EVLUMS2'"
b'Ready to present at the #r2p2019 conference today at #PHLed! https://t.co/vTLZ3rzPDf'
"b""Mom's flying home to Manila tonight after spending the last 5 months with us. It still gets me even after 3 years of this back-and-forth. I'm going to miss having her around, especially since she always seems so happy while she's here. See you in December, mama! I love you! \xf0\x9f\x92\x95 https://t.co/IOyYVm5wqz"""
"b"".@JoeBiden it's been 30 hours, please pick up your trash https://t.co/Q2vSTC3JCt"""
b'@JoeBiden @DrBiden Family photo .@JoeBiden .@DrBiden at the Campaign Rally Kickoff in Philadelphia #Biden2020 https://t.co/Ux3YhmtnY9'
b'i\xe2\x80\x99m pretty like art b**** i look like a fixture. https://t.co/hDtIEiALH3'
"b'Campaign Rally Kickoff with my son and .@JoeBiden in Philadelphia, PA #Biden2020 https://t.co/oWfEI9cUCE'"
b'Any Hardball fans @MSNBC @HardballChris awesome guy here! Supporting future president @JoeBiden S.philly call him JOEY B https://t.co/eqd3MbOlNG'
b'https://t.co/20nxGPdW5b'
b'Random highlight from the rally today was seeing these women get down after an outstanding performance. #TeamJoe #Biden2020 https://t.co/dx4pFIIgxQ'
b'@JoeBiden called me \xe2\x80\x9cMr. President\xe2\x80\x9d today upon learning of my position with @UDDems \xe2\x80\x94 quite the day! https://t.co/9PIqhKXdLA'
b'Still amazed \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 @joebiden #biden2020 https://t.co/rPBW9FUCwR'
b'United. Joe Biden is in Philadelphia and ready to win it. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n.\n.\n.\n#Biden2020 #united https://t.co/s6Q7Zqp5Nt'
b'30 minutes after the speech but @JoeBiden isn\xe2\x80\x99t leaving until he\xe2\x80\x99s had a chance meet everyone he can on #TeamJoe (and take lots of selfies) https://t.co/VBH4BSm0i6'
b'Joe Biden leaves the stage with his wife Jill. https://t.co/iWlZzkWVVz'
"b'Covering my first presidential rally today. @JoeBiden opens with a James Joyce quote, cracks jokes that someone blowing a whistle nearby is with Bernie, and says that the most important part of his climate plan is defeating Trump. https://t.co/qPVjxRfFrt'"
b'2 minutes and @JoeBiden will be here'
b'@ProgressiveDrey @jordanhartley89 @aidachavez @kenklippenstein @paulajean2020 https://t.co/mzoyXUMt5Z'
b'Almost #BidenTime Philly!!! Let\xe2\x80\x99s Go Joe!!! #TeamJoe https://t.co/D6kuR5rmqA'
b'Run Joe Run! #Biden2020 https://t.co/WWxWcFPzPh'
b'.@ChrisCoonsforDE talking with @mikememoli about why @JoeBiden is going to be our next President. https://t.co/ydEmfgDLQI'
b'A choir sings \xe2\x80\x9cLift Every Voice and Sing\xe2\x80\x9d (the Negro National Anthem) at @JoeBiden\xe2\x80\x99s campaign launch event in Philadelphia. https://t.co/dSnHLu5gKv'
b'Someone tell me #Philly isn\xe2\x80\x99t beautiful https://t.co/T4ekgyW3EJ'
b'Crowd filling in ahead of Joe Biden\xe2\x80\x99s kickoff rally in Philly. https://t.co/8qHZw4WeVA'
"b'Queen Luvonda. \nNo need to win \xe2\x80\x9cProm Queen\xe2\x80\x9d, when Luvonda is a Queen every day. https://t.co/wQIkpGwtXk'"
b'#JoeBidenRally https://t.co/jUNEbn1MCY'
"b""Make sure you're tuned in to @WDEL to hear the kickoff rally for @JoeBiden in Philly. I'll have details throughout and a recap afterwards at https://t.co/pbQFLL22yR #netDE #votede https://t.co/4xLTsSGo1h"""
"b'A solemn and glorious Mass of Ordination\xe2\x80\xa6 7 young men receive the Sacrament of Holy Orders and enter the priesthood at the Cathedral Basilica today, Archbishop Charles J Chaput OFM presiding. @CatholicPhilly https://t.co/Rhif9Cdpwp'"
b'We haven\xe2\x80\x99t had our @wawa yet. #JoeBidenRally https://t.co/TmhfjdGcVH'
"b'Every volunteer I\xe2\x80\x99ve met on the way to @JoeBiden campaign launch rally has been a woman, most have been women of color. https://t.co/YEDF1osP0A'"
"b'Beautiful morning here in Philadelphia! Expect highs to be in the upper 70s with a chance of showers/storms later tonight. Take advantage of this sunny Saturday, maybe take an early trip to the shore! #shore #philly #weather #saturday #cbs https://t.co/qX2csb4rgB'"
b'#TeamJoe ... 3 hours! https://t.co/P89RAnPmUX'
b'Good morning Philadelphia! The volunteer crew is ready for @JoeBiden! https://t.co/QeETJj7yj5'
b'Lanes still open around Eakins Oval until 9am. Crews are out getting ready for @JoeBiden\xe2\x80\x99s kickoff rally at 1. @NBCPhiladelphia https://t.co/lUnRr6QIsq'
